Cód. Item;Descrição;Espessura(mm);Largura(mm);Grupo de Item
790;ALUMINIO-CHAPA  BOB- 3105 H26 CFP ESP0,8 LARG1250 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;800;1250;CONSTRUCTION >0,2
791;ALUMINIO-CHAPA  BOB- 3105 H26 CFP ESP0,7 LARG1250 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;700;1250;CONSTRUCTION >0,2
792;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,7 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;700;1000;CONSTRUCTION >0,2
793;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG500 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;500;CONSTRUCTION >0,2
794;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG200 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;200;CONSTRUCTION >0,2
795;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG400 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;400;CONSTRUCTION >0,2
796;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG300 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;300;CONSTRUCTION >0,2
797;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG700 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;700;CONSTRUCTION >0,2
798;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG600 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;600;CONSTRUCTION >0,2
799;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG800 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;800;CONSTRUCTION >0,2
800;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG900 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;900;CONSTRUCTION >0,2
801;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,4 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;400;1000;CONSTRUCTION >0,2
802;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG200 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;200;CONSTRUCTION >0,2
803;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG600 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;600;CONSTRUCTION >0,2
804;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG300 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;300;CONSTRUCTION >0,2
805;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG400 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;400;CONSTRUCTION >0,2
806;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG500 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;500;CONSTRUCTION >0,2
807;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG800 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;800;CONSTRUCTION >0,2
808;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG900 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;900;CONSTRUCTION >0,2
809;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG700 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;700;CONSTRUCTION >0,2
810;ALUMINIO-CHAPA  BOB- 3104 H31 CFP ESP0,5 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
811;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP0,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
812;ALUMINIO-CHAPA  BOB- 3104 H31 SFP ESP0,5 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
813;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,7 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;700;1000;CONSTRUCTION >0,2
814;ALUMINIO-CHAPA  FOR- 1050 O CFP ESP0,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
815;ALUMINIO-FOLHA BOB- 8011 O ESP0,100 LARG285 DI152,4 DEMÁX700 COMUM/COMUM FINSTOCK 100-200;100;285;FINSTOCK 100-200
816;ALUMINIO-CHAPA  FOR- 1200 H14 ESP1,5 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
817;ALUMINIO-CHAPA  FOR- 5052 H34 ESP1,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1500;1250;CONSTRUCTION >0,2
818;ALUMINIO-CHAPA  FOR- 5052 H34 ESP1,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
819;ALUMINIO-CHAPA  FOR- 1200 H14 ESP3,0 LARG1500 COMP3000  COMUM/COMUM Construction >0,2;3000;1500;CONSTRUCTION >0,2
820;ALUMINIO-CHAPA  FOR- 1200 H14 ESP2,5 LARG1500 COMP3000  COMUM/COMUM Construction >0,2;2500;1500;CONSTRUCTION >0,2
821;ALUMINIO-CHAPA  FOR- 1200 H14 ESP2,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;2500;1250;CONSTRUCTION >0,2
822;ALUMINIO-CHAPA  FOR- 1200 H14 CFP ESP0,8 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;800;1250;CONSTRUCTION >0,2
823;ALUMINIO-CHAPA  FOR- 1200 H14 ESP3,0 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;3000;1250;CONSTRUCTION >0,2
824;ALUMINIO-CHAPA  FOR- 1200 H14 ESP0,8 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;800;1000;CONSTRUCTION >0,2
825;ALUMINIO-CHAPA  FOR- 1200 H14 ESP0,8 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;800;1000;CONSTRUCTION >0,2
826;ALUMINIO-CHAPA  FOR- 1200 H14 ESP0,7 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;700;1250;CONSTRUCTION >0,2
827;ALUMINIO-CHAPA  FOR- 1200 H14 ESP0,6 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;600;1250;CONSTRUCTION >0,2
828;ALUMINIO-CHAPA  FOR- 1200 H14 ESP0,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;500;1250;CONSTRUCTION >0,2
829;ALUMINIO-ARAME BOB-  5356  DIA 1,0    BRILHANTE WIR 0,6 - 1,8;;;WIR 0,8 - 1,8
830;ALUMINIO-CHAPA  BOB-  1200 H14 ESP0,30 LARG64 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;300;64;CONSTRUCTION >0,2
831;ALUMINIO-CHAPA  FOR- 3104 H31 ESP1,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1500;1250;CONSTRUCTION >0,2
832;ALUMINIO-CHAPA  FOR- 3104 H314 SFP ESP2,7 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;2700;1250;CONSTRUCTION >0,2
833;ALUMINIO-PERFIL BARRA-CHATA 6063 T5 ESP3,17 LARG50,8 COMP6000  COMUM METALLIC ACCESSORIES >1,0;3170;50,8;METALLIC ACCESSORIES >1,0
834;ALUMINIO-FOLHA BOB- 8011 O ESP0,080 LARG51 DI152,4 DEMÁX700 COMUM/COMUMCONVERTER 80;80;51;CONVERTER 80
835;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP2,0 LARG1500 COMP3000  COMUM/COMUM Construction >0,2;2000;1500;CONSTRUCTION >0,2
836;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP2,0 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;2000;1250;CONSTRUCTION >0,2
837;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP1,5 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
838;ALUMINIO-CHAPA  BOB-  1200 H14 SFP ESP0,3 LARG48 DI300 DEMÁX500 COMUM/COMUM TRANSPORTATION >0,2;300;48;CONSTRUCTION >0,2
839;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP1,2 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1200;1250;CONSTRUCTION >0,2
840;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP3,0 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;3000;1250;CONSTRUCTION >0,2
841;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP3,0 LARG1500 COMP3000  COMUM/COMUM Construction >0,2;3000;1500;CONSTRUCTION >0,2
842;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP3,0 LARG1250 COMP2000  COMUM/COMUM Construction >0,2;3000;1250;CONSTRUCTION >0,2
843;ALUMINIO-CHAPA  FOR- 5052 H32 CFP ESP1,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1500;1250;CONSTRUCTION >0,2
844;ALUMINIO-CHAPA  FOR- 5052 H32 CFP ESP1,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
845;ALUMINIO-CHAPA  FOR- 3104 H31 CFP ESP0,8 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;800;1000;CONSTRUCTION >0,2
846;ALUMINIO-CHAPA BOB-  1200 H14  ESP0,4 LARG8 DI300 DEMÁX400 COMUM/COMUM TRANSPORTATION >0,2;400;8;CONSTRUCTION >0,2
847;ALUMINIO-CHAPA BOB-  1200 H14  ESP0,3 LARG64 DI300 DEMÁX400 COMUM/COMUM TRANSPORTATION >0,2;300;64;CONSTRUCTION >0,2
848;ALUMINIO-CHAPA BOB-  1200 H14  ESP0,3 LARG48 DI300 DEMÁX400 COMUM/COMUM TRANSPORTATION >0,2;300;48;CONSTRUCTION >0,2
849;ALUMINIO-VERGALHÃO FOR- 6351 T6  DIA 22,22  COMP3000  COMUM Construction >0,2;;;CONSTRUCTION >0,2
850;ALUMINIO-CHAPA FOR- 3104 H31 CFP ESP1,2 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;1200;1000;CONSTRUCTION >0,2
851;ALUMINIO-PERFIL TUBO QUADRADO-  6063 T5  DE76,2 ESP1,0  COMP6000 COMUM EST. METAL.;1;;ESTRUTURA METÁLICA
852;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE12,7 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
853;ALUMINIO-PERFIL TUB. R  TUB-019 PORTAL 6063 T5 DE15,87 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
854;ALUMINIO-PERFIL TUB. R STL-1584 PORTAL 6063 T5 DE19,05 ESP3,17  COMP6000 COMUM EST. METAL.;3,17;;ESTRUTURA METÁLICA
855;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE19,05 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
856;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE25,4 ESP3,17  COMP6000 COMUM EST. METAL.;3,17;;ESTRUTURA METÁLICA
857;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE25,4 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
858;ALUMINIO-VERG. R STL-0693 PORTAL 6351 T6  DIA22,22  COMP3000  COMUM;;;USINAGEM
859;ALUMINIO-VERG. R STL-0700 PORTAL 6351 T6  DIA50,8  COMP3000 COMUM USINAGEM;;;USINAGEM
860;ALUMINIO-VERG. R STL-0690 PORTAL 6351 T6  DIA7,93  COMP3000 COMUM USINAGEM;;;USINAGEM
861;ALUMINIO-VERG. R 6351 T6  DIA25,8  COMP3000  COMUM USINAGEM;;;USINAGEM
862;ALUMINIO-PERFIL TUB. R   6351 T6 DE38,1 ESP2,4  COMP6000 COMUM EST. METAL.;2,38;;ESTRUTURA METÁLICA
863;ALUMINIO-PERFIL TUB. R  6351 T6 DE50,8 ESP3,17  COMP6000 COMUM EST. METAL.;3,17;;ESTRUTURA METÁLICA
864;ALUMINIO-PERFIL TUB. R STL-1643 PORTAL 6063 T5 DE25,4 ESP2,0  COMP6000 COMUM EST. METAL.;2;;ESTRUTURA METÁLICA
865;ALUMINIO-PERFIL TUB. R STL-1758 PORTAL 6063 T5 DE19,05 ESP1,0  COMP6000 COMUM EST. METAL.;1;;ESTRUTURA METÁLICA
866;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE9,52 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
867;ALU-PERFIL CANT. A.D STL-790 PORTAL  6351T6 ABA100 BASE34 ESP9,52 COMP6000 COMUM EST. METAL.;9,52;;ESTRUTURA METÁLICA
868;ALUMINIO-PERFIL BARRA-CHATA 6063 T5 LARG EX50,8 ESP3,17 COMP6000 COMUM/COMUM USINAGEM;3,17;;USINAGEM
869;ALUMINIO-PERFIL BARRA-CHATA 6063 T5 LARG EX76,2 ESP6,35 COMP6000  COMUM/COMUM USINAGEM;6,35;;USINAGEM
870;ALUMINIO-CHAPA FOR- 1100 H24  ESP2,0 LARG1250 COMP3000  COMUM/COMUM TRANSPORTATION >0,2;2000;1250;TRANSPORTATION >0,2
871;ALUMINIO-CHAPA FOR- 1100 H24  ESP3,0 LARG1250 COMP3000  COMUM/COMUM TRANSPORTATION >0,2;3000;1250;TRANSPORTATION >0,2
872;ALUMINIO-CHAPA FOR- 1200 H14 CFP ESP1,50 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1500;1250;CONSTRUCTION >0,2
873;ALUMINIO-VERG. R STL-0697 PORTAL 6351 T6  DIA38,1  COMP3000 COMUM USINAGEM;;;USINAGEM
874;ALUMINIO-VERG. R STL-0692 PORTAL 6351 T6  DIA19,05  COMP3000 COMUM USINAGEM;;;USINAGEM
875;ALUMINIO-CHAPA BOB-  1200 H14 SFP ESPO,30 LARG96 DI200 DEMÁX300 COMUM/COMUM TRANSPORTATION >0,2;300;96;TRANSPORTATION >0,2
876;ALUMINIO-CHAPA BOB-  1200 H14 SFP ESPO,30 LARG80 DI200 DEMÁX300 COMUM/COMUM TRANSPORTATION >0,2;300;80;TRANSPORTATION >0,2
877;ALUMINIO-CHAPA XADREZ FOR- 3105 H114  ESP2,2 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;2200;1000;CONSTRUCTION >0,2
878;ALUMINIO-CHAPA FOR- 1200 H14 CFP ESP1,0 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;1000;1000;CONSTRUCTION >0,2
879;ALUMINIO-CHAPA FOR- 1200 H14 CFP ESP1,5 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
880;ALUMINIO-FOLHA BOB- 8011 O ESP0,127 LARG1000 DI152,4 DEMÁX700 GOLD/GOLDFINSTOCK GOLD 100-200;127;1000;FINSTOCK GOLD100-200
881;ALUMINIO-FOLHA BOB- 8011 O ESP0,033 LARG760 DI152,4 DEMÁX740 BRI/FOS CONVERTER 30-40;33;760;CONVERTER 30-40
882;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,5 LARG350 DI300 DEMÁX400 COMUM/COMUM Construction >0,2;500;350;CONSTRUCTION >0,2
883;ALUMINIO-CHAPA FOR- 1100 H14 CFP ESP1,5 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1500;1250;CONSTRUCTION >0,2
884;ALUMINIO-CHAPA FOR- 1100 H14 CFP ESP1,5 LARG1000 COMP3000  COMUM/COMUM Construction >0,2;1500;1000;CONSTRUCTION >0,2
885;ALUMINIO-VERG. R  6351 T6  DIA63,5  COMP3000 COMUM USINAGEM;;;USINAGEM
886;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5 DE38,1 ESP3,17  COMP6000 COMUM EST. METAL.;3,17;;ESTRUTURA METÁLICA
887;ALUMINIO-PERFIL BARRA CHATA- 6063 T5  ESP3,17 LARG EX25,4 COMP6000 COMUM/COMUM USINAGEM;3,17;;USINAGEM
888;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5 DE31,75 ESP3,17  COMP6000 COMUM EST. METAL.;3,17;;ESTRUTURA METÁLICA
889;ALUMINIO-VERG. R 6351 T6  DIA12,70  COMP3000 COMUM USINAGEM;;;USINAGEM
890;ALUMINIO-VERG. R 6351 T6  DIA38,1  COMP3000 COMUM USINAGEM;;;USINAGEM
891;ALUMINIO-CHAPA FOR- 1200 H24 CFP ESP4,0 LARG1500 COMP3000  COMUM/COMUM Construction >0,2;4000;1500;CONSTRUCTION >0,2
892;ALUMINIO-CHAPA FOR- 1100 H14 CFP ESP1,0 LARG1250 COMP3000  COMUM/COMUM TRANSPORTATION >0,2;1000;1250;CONSTRUCTION >0,2
893;ALUMINIO-CHAPA FOR- 1100 H14 CFP ESP3,0 LARG1250 COMP3000  COMUM/COMUM TRANSPORTATION >0,2;3000;1250;CONSTRUCTION >0,2
894;ALUMINIO-CHAPA BOB-  1100 H14 SFP ESP0,5 LARG400 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;400;CONSTRUCTION >0,2
895;ALUMINIO-CHAPA BOB-  1100 H14 SFP ESP0,5 LARG1000 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;1000;CONSTRUCTION >0,2
896;ALUMINIO-PERFIL TUBO QUADRADO-  6063 T5  DE25,4 ESP1,0  COMP6000 COMUMEST. METAL.;1;;ESTRUTURA METÁLICA
897;ALUMINIO-CHAPA  BOB- 1100 H14 SFP ESP0,5 LARG500 DI300 DEMÁX400 COMUM/COMUM Construction >0,2;500;500;CONSTRUCTION >0,2
898;ALUMINIO-FOLHA BOB- 8011 H19 ESP0,075 LARG392,5 DI152,4 DEMÁX875 COMUM/COMUM TRANSPORTATION <0,2;750;392,5;TRANSPORTATION <0,2
899;ALUMINIO-CHAPA  FOR- 1200 H14 CFP ESP0,7 LARG1000 COMP2000  COMUM/COMUM Construction >0,2;700;1000;CONSTRUCTION >0,2
900;ALUMINIO-CHAPA  FOR- 1200 H14 CFP ESP1,0 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1000;1250;CONSTRUCTION >0,2
901;ALUMINIO-CHAPA  FOR- 3105 H114  ESP1,2 LARG1250 COMP3000  COMUM/COMUM Construction >0,2;1200;1250;CONSTRUCTION >0,2
902;ALUMINIO-CHAPA  FOR- 3105 H114  ESP1,2 LARG1000 COMP2000 COMUM/COMUM Construction >0,2;1200;1000;CONSTRUCTION >0,2
903;ALUMINIO-PERFIL TUBO QUADRADO-  6063 T5  DE19,05 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
904;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE22,22 ESP1,0  COMP6000 COMUM EST. METAL.;1;;ESTRUTURA METÁLICA
905;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE22,22 ESP1,0  COMP3000 COMUM EST. METAL.;1;;ESTRUTURA METÁLICA
906;ALUMINIO-FOLHA BOB- 8011 O ESP0,012 LARG665 DI152,4 DEMÁX550 BRI/FOS CONVERTER 12;12;665;CONVERTER 12
907;ALUMINIO-FOLHA BOB- 8011 O ESP0,021 LARG665 DI152,4 DEMÁX550 BRI/FOS CONVERTER 20-25;21;665;CONVERTER 20-25
908;ALUMINIO-FOLHA BOB- 8011 O ESP0,035 LARG665 DI152,4 DEMÁX550 BRI/FOS CONVERTER 30-40;35;665;CONVERTER 30-40
909;ALUMINIO-FOLHA BOB- 8011 O ESP0,051 LARG665 DI152,4 DEMÁX550 COMUM/COMUM CONVERTER 50-60;51;665;CONVERTER 50-60
910;ALUMINIO-FOLHA BOB- 8011 O ESP0,035 LARG648 DI152,4 DEMÁX550 BRI/FOS CONVERTER 30-40;35;648;CONVERTER 30-40
911;ALUMINIO-CHAPA  BOB- 1200 H14 SFP ESP0,5 LARG300 DI300 DEMÁX500 COMUM/COMUM Construction >0,2;500;300;CONSTRUCTION >0,2
912;ALUM FOLHA  BOB    ESP0,008  LARG620   BRILHANTE/FOSCO CONVERTER 8;8;620;SUCATA ALUMINIO
913;ALUM FOLHA  BOB    ESP0,008  LARG930   BRILHANTE/FOSCO CONVERTER 8;8;930;SUCATA ALUMINIO
914;ALUM FOLHA  BOB    ESP0,008  LARG760   BRILHANTE/FOSCO CONVERTER 8;8;760;SUCATA ALUMINIO
915;ALUMINIO-PERFIL TUBO REDONDO-  6063 T5  DE9,40 ESP1,58  COMP6000 COMUM EST. METAL.;1,58;;ESTRUTURA METÁLICA
